Designator,Comment,Value,Footprint,JLCPCB Part #
D_VBUS,,,,C8598
R_3V3_EN,100k,100k,,C25741
C_IOVDD1,100n,100n,,C1525
C_IOVDD2,100n,100n,,C1525
C_IOVDD3,100n,100n,,C1525
C_IOVDD4,100n,100n,,C1525
C_IOVDD5,100n,100n,,C1525
C_IOVDD6,100n,100n,,C1525
R_RUN,10k,10k,,C25744
C_FLASH,100n,100n,,C1525
C_USB_VDD,100n,100n,,C1525
C_ADC,100n,100n,,C1525
J_USB,,,,C2765186
U1,,,,C2040
U2,,,,C2843335
U3,,,,C23380830
Y1,,,,C9002
SW_BOOT,,,,C139797
SW_RUN,,,,C139797
D1,,,,C965799
D_PWR,,,,C965799
R_BOOT,10k,10k,,C25744
R_LED,330,330,,C25104
R_PWR_LED,330,330,,C25104
R_CC1,5.1k,5.1k,,C25905
R_CC2,5.1k,5.1k,,C25905
R_USB1,27,27,,C25100
R_USB2,27,27,,C25100
C_VBUS,10µ,10µ,,C19702
C_3V3,10µ,10µ,,C19702
C_CORE,1µ,1µ,,C52923
C_USB,1µ,1µ,,C52923
C_XIN,18p,18p,,C1549
C_XOUT,18p,18p,,C1549
L_AVDD,,,,C1002
TP_SWCLK,,,,
TP_GND,,,,
TP_SWDIO,,,,
TP_3V3,,,,
K1,,,,
D1,,,,
K2,,,,
D2,,,,
K3,,,,
D3,,,,
K4,,,,
D4,,,,
K5,,,,
D5,,,,
K6,,,,
D6,,,,
K7,,,,
D7,,,,
K8,,,,
D8,,,,
K9,,,,
D9,,,,
K10,,,,
D10,,,,
K11,,,,
D11,,,,
K12,,,,
D12,,,,
