Designator,Mid X,Mid Y,Layer,Rotation
D_VBUS,-51.000,21.000,top,90
R_3V3_EN,-53.700,17.300,top,90
C_IOVDD1,-53.000,-5.000,top,0
C_IOVDD2,-52.000,6.000,top,0
C_IOVDD3,-57.000,-1.000,top,270
C_IOVDD4,-53.000,-6.000,top,0
C_IOVDD5,-55.000,-10.000,top,270
C_IOVDD6,-57.000,1.600,top,0
R_RUN,-38.600,-5.500,top,0
C_FLASH,-54.500,10.800,top,180
C_USB_VDD,-41.800,14.500,top,0
C_ADC,-41.000,-4.400,top,0
J_USB,-49.000,31.425,top,180
U1,-49.000,0.500,top,0
U2,-45.600,9.500,top,90
U3,-56.200,20.200,top,180
Y1,-49.500,-6.000,top,0
SW_BOOT,-40.400,21.800,top,0
SW_RUN,-43.500,-12.500,top,90
D1,-39.000,4.200,top,90
D_PWR,-58.800,24.800,top,90
R_BOOT,-37.000,17.800,top,90
R_LED,-41.800,1.200,top,90
R_PWR_LED,-55.200,24.800,top,90
R_CC1,-49.200,25.600,top,0
R_CC2,-45.400,26.500,top,0
R_USB1,-45.600,22.500,top,90
R_USB2,-46.600,16.500,top,270
C_VBUS,-51.800,26.300,top,90
C_3V3,-57.500,4.200,top,0
C_CORE,-45.200,-5.500,top,0
C_USB,-39.200,18.400,top,0
C_XIN,-57.400,-11.800,top,0
C_XOUT,-46.200,-9.000,top,0
L_AVDD,-40.500,-1.800,top,90
TP_SWCLK,-55.000,-31.000,top,0
TP_GND,-51.000,-31.000,top,0
TP_SWDIO,-47.000,-31.000,top,0
TP_3V3,-43.000,-31.000,top,0
K1,-8.575,19.050,bottom,0
D1,-8.575,25.550,bottom,0
K2,10.475,19.050,bottom,0
D2,10.475,25.550,bottom,0
K3,29.525,19.050,bottom,0
D3,29.525,25.550,bottom,0
K4,48.575,19.050,bottom,0
D4,48.575,25.550,bottom,0
K5,-8.575,0.000,bottom,0
D5,-8.575,6.500,bottom,0
K6,10.475,0.000,bottom,0
D6,10.475,6.500,bottom,0
K7,29.525,0.000,bottom,0
D7,29.525,6.500,bottom,0
K8,48.575,0.000,bottom,0
D8,48.575,6.500,bottom,0
K9,-8.575,-19.050,bottom,0
D9,-8.575,-12.550,bottom,0
K10,10.475,-19.050,bottom,0
D10,10.475,-12.550,bottom,0
K11,29.525,-19.050,bottom,0
D11,29.525,-12.550,bottom,0
K12,48.575,-19.050,bottom,0
D12,48.575,-12.550,bottom,0
